epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.243,1.45145,1.73567,1.48379,0.0624,0.88636,0.81048,0.24566,2.31943,3.39909,1.73003,0.0677333,0.000325926,0.000325926
2,519.613,1.33284,1.0983,1.43906,1,0.90629,0.98569,0.5548,1.71548,0.90342,1.47089,0.0347268,0.000652733,0.000652733
3,778.572,1.38313,1.04278,1.44059,0.99633,1,0.995,0.40574,1.99916,1.24553,1.70388,0.00171368,0.000972939,0.000972939
4,1036.34,1.30934,0.98198,1.41121,0.99094,0.97727,0.97516,0.33437,2.22437,1.94157,1.92153,0.0009703,0.0009703,0.0009703
5,1292.01,1.29415,0.93741,1.41501,0.94959,0.95455,0.98376,0.5998,1.44153,1.20471,1.23898,0.0009604,0.0009604,0.0009604
6,1532.57,1.2951,0.89279,1.40705,0.99628,1,0.995,0.27545,2.61173,1.12112,2.24355,0.0009505,0.0009505,0.0009505
7,1776.6,1.27485,0.84734,1.37084,0.99767,1,0.995,0.50324,1.8216,0.89887,1.49392,0.0009406,0.0009406,0.0009406
8,2025.64,1.25494,0.88129,1.36966,0.99705,1,0.995,0.54993,1.78344,0.91812,1.50075,0.0009307,0.0009307,0.0009307
9,2263.91,1.28128,0.84201,1.37774,0.99865,1,0.995,0.63522,1.40973,0.72873,1.24,0.0009208,0.0009208,0.0009208
10,2502.14,1.18408,0.80672,1.33788,0.99673,1,0.995,0.6378,1.45129,0.59093,1.20535,0.0009109,0.0009109,0.0009109
11,2743.09,1.17727,0.77268,1.30448,0.99724,1,0.995,0.72093,1.08753,0.60501,1.10284,0.000901,0.000901,0.000901
12,2982.77,1.19241,0.77666,1.32073,0.99791,1,0.995,0.69186,1.18749,0.57146,1.09746,0.0008911,0.0008911,0.0008911
